,running_saber11,running_sisben,spadies_any,tr
230,87,,1,1
231,89,,1,1
232,79,,1,1
233,14,,1,1
234,26,-18.66000274658203,0,0
235,68,,1,1
236,62,,1,1
237,32,,1,1
238,62,-7.900000610351562,0,0
239,23,,1,1
240,52,,1,1
241,2,-21.359999694824218,0,0
242,65,,0,1
243,-35,-0.4500007629394531,0,0
244,79,,1,1
245,111,-18.09000305175781,1,0
246,61,,0,1
247,93,,1,1
248,67,,1,1
249,75,,0,1
250,51,,0,1
251,118,,1,1
252,58,,0,1
253,5,11.610000915527344,1,1
254,61,-7.039999999999999,0,0
255,66,,0,1
256,60,-17.609999694824218,1,0
257,43,,0,1
258,43,,1,1
259,87,,1,1
260,46,,1,1
261,45,3.7799996948242196,0,1
262,74,,1,1
263,59,-25.05999725341797,0,0
264,22,23.610001525878907,0,1
265,45,,1,1
266,-13,,1,0
267,25,,0,1
268,14,-13.959998168945312,0,0
269,70,,1,1
270,75,,0,1
271,77,-12.190002136230468,1,0
272,56,,1,1
273,26,30.37,1,1
274,56,,1,1
275,115,,1,1
276,82,16.770000762939453,1,1
277,61,,1,1
278,113,,1,1
279,2,,1,1
280,52,,1,1
281,-5,37.36999984741211,0,0
282,55,,1,1
283,7,-21.619998931884766,0,0
284,92,,1,1
285,32,7.340000457763672,1,1
286,28,-19.269996337890625,0,0
287,62,,1,1
288,26,,1,1
289,99,,1,1
290,84,,1,1
291,28,,1,1
292,15,-10.150000610351562,1,0
293,78,,1,1
294,39,,1,1
295,31,-18.810001373291016,1,0
296,17,,1,1
297,70,-4.139998474121093,1,0
298,7,,1,1
299,38,,1,1
300,82,,1,1
301,53,,1,1
302,41,,1,1
303,56,,1,1
304,2,29.95,1,1
305,47,,1,1
306,97,,1,1
307,0,,1,1
308,96,39.06000038146973,1,1
309,-11,20.759999237060548,0,0
310,5,,1,1
311,36,-15.999999694824218,0,0
312,78,,1,1
313,78,,1,1
314,32,-18.950003662109374,0,0
315,59,,1,1
316,68,6.2700013732910165,1,1
317,62,,1,1
318,75,,1,1
319,1,,0,1
320,41,-8.179999389648437,1,0
321,18,,1,1
322,12,,0,1
323,26,26.919999084472657,0,1
324,3,30.279999084472657,0,1
325,65,,1,1
326,-8,,1,0
327,66,,1,1
328,77,,1,1
329,77,,1,1
330,30,,0,1
331,26,,0,1
332,23,-12.260001220703124,1,0
333,59,-12.18,0,0
334,30,,0,1
335,23,,1,1
336,0,-16.34000305175781,0,0
337,38,-17.609999694824218,1,0
338,18,16.469998321533204,1,1
339,57,-1.639998474121093,1,0
340,53,,1,1
341,-87,,0,0
342,50,,1,1
343,62,20.63,1,1
344,-6,42.54999954223633,1,0
345,91,,1,1
346,35,,0,1
347,24,,1,1
348,45,,0,1
349,93,,1,1
350,-6,-7.120001831054687,0,0
351,11,-3.1900015258789054,1,0
352,-28,,0,0
353,86,,1,1
354,66,,0,1
355,-32,41.870000190734864,0,0
356,0,,1,1
357,86,,1,1
358,40,,1,1
359,35,,1,1
360,-45,,0,0
361,75,0.1700000000000017,1,1
362,72,,1,1
363,30,,1,1
364,37,,1,1
365,37,,1,1
366,13,-1.1300001525878898,1,0
367,61,,0,1
368,-4,,1,0
369,100,,0,1
370,97,5.0200013732910165,1,1
371,77,,1,1
